age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,nb_enfants,quotient_caf,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
19,175.0,62.5,H,non,bac,Île-de-France,oui,oui,0,78.7,4958,veuf,2.5068201193520885,0.19,574.7797217537943,5306.473283539622,500.0
31,190.0,63.5,H,oui,bac+2,Corse,non,oui,1,221.8,3001,veuf,2.5068201193520885,0.93,574.7797217537943,1270.84,786.595928525307
68,174.6,66.5,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2,227.8,3758,veuf,2.5068201193520885,0.68,576.0,5306.473283539622,29093.676396627423
50,187.1,106.8,H,oui,master,Occitanie,non,non,2,64.0,3967,marié,2.5068201193520885,0.68,574.7797217537943,10000.0,7823.303925132546
42,169.7,63.4,H,oui,master,Provence-Alpes-Côte d’Azur,non,non,2,19.5,2091,veuf,3.0,0.92,574.7797217537943,5000.0,500.0
31,152.8,66.1,H,oui,doctorat,Île-de-France,oui,non,3,298.4,5731,marié,2.5068201193520885,0.8,556.0,10000.0,24020.24395844216
54,195.0,84.4,H,non,aucun,Corse,oui,non,1,247.2,886,marié,2.5068201193520885,0.91,515.0,488.21,500.0
27,177.8,88.2,H,oui,doctorat,Occitanie,non,oui,3,305.4,1061,marié,2.5068201193520885,0.57,574.7797217537943,692.45,29425.13822833588
31,163.8,64.9,H,oui,doctorat,Bretagne,oui,oui,1,238.7,1540,veuf,3.0,0.9,818.0,5000.0,22143.694141361557
54,185.1,92.8,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,0,231.9,3447,veuf,2.5068201193520885,0.09,574.7797217537943,10000.0,23381.42115415252
63,165.0,56.9,F,oui,aucun,Hauts-de-France,oui,oui,0,290.4,1820,veuf,2.5068201193520885,0.43,404.0,5306.473283539622,500.0
68,165.0,52.8,H,oui,master,Normandie,oui,non,3,220.7,1684,marié,4.0,0.36,414.0,5000.0,4324.856803286908
73,176.6,51.3,F,oui,bac,Bretagne,oui,oui,0,216.7,2310,célibataire,2.5068201193520885,0.56,574.7797217537943,1094.79,500.0
57,171.9,36.1,H,oui,aucun,Bretagne,non,non,2,202.5,3140,veuf,0.0,0.37,629.0,5306.473283539622,500.0
35,181.1,63.5,F,non,aucun,Normandie,oui,oui,0,344.3,4089,veuf,2.0,0.96,516.0,10000.0,500.0
25,172.1,82.2,H,non,bac,Corse,oui,oui,3,139.9,3387,marié,2.5068201193520885,0.0,511.0,5306.473283539622,500.0
40,166.6,64.4,H,non,doctorat,Normandie,oui,non,2,276.7,2622,divorcé,2.5068201193520885,0.3,746.0,5000.0,500.0
25,187.4,43.0,H,non,master,Hauts-de-France,oui,non,-1,287.2,3158,célibataire,3.0,0.42,574.7797217537943,5306.473283539622,500.0
34,160.0,84.2,H,non,aucun,Île-de-France,non,oui,1,215.1,1959,célibataire,3.0,0.54,574.7797217537943,5000.0,10854.07936402302
65,166.5,72.5,H,oui,master,Occitanie,non,non,2,331.3,3385,célibataire,2.5068201193520885,0.84,659.0,605.13,13939.190884194722
48,171.0,50.1,F,non,bac,Bretagne,oui,non,1,173.1,3074,veuf,2.5068201193520885,0.17,574.7797217537943,5000.0,500.0
44,163.2,62.4,H,oui,bac+2,Occitanie,oui,non,3,281.4,3403,divorcé,2.5068201193520885,0.99,574.7797217537943,5306.473283539622,500.0
26,173.2,51.2,H,oui,aucun,Bretagne,oui,oui,3,83.6,1824,célibataire,1.0,0.2,574.7797217537943,881.48,8454.336007043335
72,159.3,86.3,H,oui,aucun,Normandie,oui,oui,2,244.7,4181,divorcé,2.5068201193520885,0.33,574.7797217537943,5000.0,7322.695420891237
55,180.5,99.2,F,non,master,Île-de-France,oui,oui,2,329.2,500,marié,2.0,0.96,458.0,5000.0,6793.452284371787
50,180.5,65.7,F,non,bac,Provence-Alpes-Côte d’Azur,oui,non,3,329.4,3322,veuf,2.5068201193520885,0.64,574.7797217537943,1200.45,500.0
28,186.2,62.2,H,non,bac,Île-de-France,non,non,2,260.4,1447,veuf,5.0,0.4,809.0,10000.0,500.0
66,186.1,85.4,H,non,master,Hauts-de-France,oui,non,2,266.0,2886,divorcé,0.0,0.83,574.7797217537943,10000.0,500.0
72,154.5,53.2,H,oui,bac,Corse,oui,non,1,320.2,2744,célibataire,2.5068201193520885,0.38,574.7797217537943,5000.0,500.0
19,171.2,56.0,H,non,doctorat,Île-de-France,oui,oui,1,342.3,1731,divorcé,2.5068201193520885,0.37,574.7797217537943,10000.0,7178.331807639605
74,179.0,53.9,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,2,188.7,867,marié,4.0,0.78,574.7797217537943,10000.0,10699.741376669954
51,169.1,71.5,F,oui,bac,Hauts-de-France,oui,oui,2,168.4,932,veuf,2.5068201193520885,0.86,692.0,5000.0,500.0
67,159.4,83.3,H,oui,master,Normandie,oui,oui,2,231.6,1688,veuf,2.5068201193520885,0.52,574.7797217537943,5306.473283539622,12691.20933726451
30,164.8,60.8,H,non,master,Auvergne-Rhône-Alpes,non,oui,2,274.8,4821,célibataire,2.5068201193520885,0.43,574.7797217537943,852.08,32406.363429223
70,180.7,66.5,F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,5,395.5,3294,marié,2.5068201193520885,0.53,549.0,5306.473283539622,14959.704183298292
59,176.7,68.4,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,2,469.5,3307,divorcé,5.0,0.25,574.7797217537943,5000.0,500.0
48,173.1,69.6,F,oui,doctorat,Corse,oui,oui,0,250.4,3327,veuf,4.0,0.24,326.0,5306.473283539622,931.2893411604468
33,180.6,87.3,F,non,bac+2,Corse,oui,non,3,163.4,3644,divorcé,2.5068201193520885,0.83,474.0,10000.0,500.0
35,162.8,78.2,H,non,doctorat,Normandie,non,oui,0,222.9,2186,veuf,2.5068201193520885,0.81,574.7797217537943,5000.0,13336.458815540716
23,173.4,53.3,F,non,doctorat,Occitanie,non,non,0,174.7,1878,veuf,5.0,0.89,574.7797217537943,10000.0,500.0
56,173.0,50.5,H,non,bac+2,Corse,non,oui,0,302.9,3511,divorcé,0.0,0.35,574.7797217537943,667.42,6275.995657375264
